Question,Started_time,Closed_time,Challenges_list,Tags_list,Description,Possible_Answers_dict
"Before 13 June 2024, will the Federal Reserve announce a change in the total cap of assets that run off its balance sheet each month?","Mar 22, 2024 05:00PM UTC","May 01, 2024 06:00PM UTC",['In the News 2024'],"['Business', 'Finance', 'Economic Policy', 'US Policy']","While the Federal Reserve last raised the federal funds target range in the summer of 2023, it has continued to reduce the level of assets on its balance sheet as part of its program of monetary ""quantitative tightening"" in its efforts to combat inflation (New York Fed, Investopedia, Wolf Street, Yahoo, Congressional Research Service). The outcome will be determined using information in the statements and implementation notes release by the Federal Open Market Committee (FOMC) (Federal Reserve - FOMC Meeting Calendar). As of the launch of this question, the total cap of assets was $95 billion each month, $60 billion in Treasury securities and $35 billion in agency debt and agency mortgage-backed securities (MBS) (Federal Reserve - Implementation Note 20 March 2024). A change in the amounts for Treasury securities and MBS that results in no net change from the total $95 billion will not count, and the date the change will take effect is immaterial.","{'Yes, it will increase the total cap': {'Correct?': False, 'Final Crowd Forecast': '11%'}, 'Yes, it will decrease the total cap': {'Correct?': True, 'Final Crowd Forecast': '54%'}, 'No': {'Correct?': False, 'Final Crowd Forecast': '35%'}}"
"What will be the average Air Quality Index value in New Delhi, India, in April 2024?","Mar 29, 2024 05:00PM UTC","Apr 30, 2024 07:01AM UTC","['In the News 2024', 'Foxes Ask']",['Environment'],"A report from Swiss air quality technology company IQAir indicated that 83 of the 100 cities with the worst air pollution in the world were in India in 2023 (CNN). The question will be suspended on 29 April 2024 and the outcome determined using data from AirNow once complete data for the month of April 2024 are available (AirNow.gov). To access the resolution data on the site, choose ""New Delhi"" under ""Select a City,"" click on the ""Historical"" tab, and download the file for ""2024 PM2.5 YTD."" Add all positive valid data points for the column titled ""AQI"" (invalid entries are coded as -999, and valid data points are labeled ""Valid"" under ""QC Name"") with a ""4"" under ""Month"" and divide the sum by the number of valid data points. Averages in April 2019, 2020, 2021, 2022, and 2023 were, respectively, 150.598, 107.440, 153.308, 170.479, and 138.654. If the named source changes the way it presents the data, we will make the appropriate modifications to the resolution instructions.","{'Less than 135.00': {'Correct?': False, 'Final Crowd Forecast': '13%'}, 'At least 135.00, but less than 145.00': {'Correct?': True, 'Final Crowd Forecast': '86%'}, 'At least 145.00, but less than 155.00': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'At least 155.00, but less than 165.00': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'At least 165.00, but less than 175.00': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'At least 175.00, but less than 185.00': {'Correct?': False, 'Final Crowd Forecast': '0%'}, '185.00 or more': {'Correct?': False, 'Final Crowd Forecast': '0%'}}"
"Will territory in any Ukrainian oblast that borders Belarus cease to be under Ukrainian control before 1 May 2024, according to the Institute for the Study of War?","Nov 03, 2023 05:00PM UTC","May 01, 2024 07:01AM UTC","['In the News 2024', 'Russia-Ukraine Conflict']","['Society', 'Foreign Policy', 'Security and Conflict', 'Non-US Politics']","The border between Ukraine and Belarus has been relatively quiet in 2023, but fears remain that enemy forces may again invade the north of Ukraine via a renuclearized Belarus (Yahoo, Government of Ukraine - Center for National Resistance, Belta). The outcome will be determined using data as provided by the Institute for the Study of War's (ISW's) interactive map of Russia's invasion of Ukraine (ISW). The Ukrainian oblasts that border Belarus are Chernihiv, Kyiv, Rivne, Volyn, and Zhytomyr, which you can identify by zooming in on the ISW map application. For the purposes of this question, ""Claimed Russian Control"" would not count as ceasing to be under Ukrainian control, but ""Assessed Russian Advance"" and ""Assessed Russian Control"" would count as ceasing to be under Ukrainian control.","{'Yes': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'No': {'Correct?': True, 'Final Crowd Forecast': '99%'}}"
"Before 1 May 2024, will Russia or Belarus detonate a nuclear device outside of Russian and Belarusian territory or airspace?","Sep 15, 2023 05:00PM UTC","May 01, 2024 07:01AM UTC","['In the News 2024', 'Russia-Ukraine Conflict', 'Superforecasting® Workshops Challenge']","['Society', 'Foreign Policy', 'Security and Conflict', 'Non-US Politics']","Amid successful counterattacks by Ukrainian forces in the east of the country, there are concerns that Russia could resort to using nuclear weapons (The Hill, Russia in Global Affairs, Newsweek). Russian and Belarusian territory and airspace include that within the boundaries generally recognized by the international community. A radiological device (aka ""dirty bomb"") would not count (Nuclear Regulatory Commission).","{'Yes': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'No': {'Correct?': True, 'Final Crowd Forecast': '99%'}}"
"Between 15 September 2023 and 30 April 2024, will Russia or Belarus publicly announce that it has moved a nuclear weapon or weapons into Ukraine?","Sep 15, 2023 05:00PM UTC","May 01, 2024 07:01AM UTC","['In the News 2024', 'Russia-Ukraine Conflict', 'Superforecasting® Workshops Challenge']","['Society', 'Foreign Policy', 'Security and Conflict', 'Non-US Politics']","As fighting continues in Ukraine with Russian nuclear weapons now in Belarus, there are continuing concerns that Moscow may move nuclear weapons into Ukraine (BBC, ABC News, Politico). Ukraine includes the boundaries generally recognized by the international community, including Donbas and Crimea. For the purposes of this question, Russia or Belarus' detonation of a nuclear device in Ukraine would be considered a Russian or Belarusian public announcement that it moved nuclear weapons into Ukraine. A radiological device (aka ""dirty bomb"") would not count (Nuclear Regulatory Commission).","{'Yes': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'No': {'Correct?': True, 'Final Crowd Forecast': '99%'}}"
"Between 19 January 2024 and 30 August 2024, will Donald Trump be found in contempt of court by a judge presiding over any US criminal proceedings for which he is a defendant?","Jan 19, 2024 06:00PM UTC","Apr 30, 2024 02:00PM UTC","['2024 US Election Challenge', 'In the News 2024']","['Society', 'Leader Entry/Exit', 'US Politics', 'Elections and Referenda']","As former President Trump faces criminal charges in various jurisdictions, he is under various orders from courts to refrain from making certain comments against prosecutors and others (Politico - Trump Criminal Investigations Cases Tracker, USA Today, Politico, AP, Cornell - Gag Order). A finding of either civil contempt or criminal contempt in pertinent criminal proceedings would count, and the proceedings may be in either state or federal court (Cornell - Contempt of Court). A contempt finding in civil cases would not count (e.g., US News & World Report).","{'Yes': {'Correct?': True, 'Final Crowd Forecast': '64%'}, 'No': {'Correct?': False, 'Final Crowd Forecast': '36%'}}"
Which pick overall will be highest for a non-quarterback in the 2024 NFL Draft?,"Feb 16, 2024 06:00PM UTC","Apr 25, 2024 07:01AM UTC","['In the News 2024', ""2023-24 'Sportsball' Challenge""]","['Business', 'Sports']","There are several quarterbacks and non-quarterbacks among the top prospects for the 2024 NFL Draft (Sporting News, Pro Football Focus). The question is only concerned with the order of players as actually drafted, irrespective of any draft pick trades. The 2024 NFL Draft is scheduled to begin in Detroit, Michigan, on 25 April 2024 (NFL).","{'1st': {'Correct?': False, 'Final Crowd Forecast': '1%'}, '2nd': {'Correct?': False, 'Final Crowd Forecast': '2%'}, '3rd': {'Correct?': False, 'Final Crowd Forecast': '10%'}, '4th': {'Correct?': True, 'Final Crowd Forecast': '67%'}, '5th or lower': {'Correct?': False, 'Final Crowd Forecast': '20%'}}"
Will the Chicago Bears make the first overall pick for the 2024 NFL Draft?,"Feb 16, 2024 06:00PM UTC","Apr 25, 2024 07:01AM UTC","['In the News 2024', ""2023-24 'Sportsball' Challenge""]","['Business', 'Sports']","NFL observers have been speculating what it would take for the Bears to trade away their first overall pick in the 2024 NFL Draft (USA Today, CBS Sports, Fox 32 Chicago). The Bears traded away their number one overall draft pick to the Carolina Panthers in 2023 in exchange for, among other things, the Panther's first round pick in 2024 (NFL - News). Since the Panthers had the worst record in the NFL in 2023, their first-round pick, held by the Bears as of the launch of this question, is first overall. The 2024 NFL Draft is scheduled to begin in Detroit, Michigan, on 25 April 2024 (NFL).","{'Yes': {'Correct?': True, 'Final Crowd Forecast': '95%'}, 'No': {'Correct?': False, 'Final Crowd Forecast': '5%'}}"
What will be the US annual real GDP growth rate for the first quarter of 2024?,"Dec 01, 2023 06:00PM UTC","Apr 01, 2024 07:01AM UTC","['In the News 2024', '""Right!"" said FRED: Q1 2024 Finance and Economics Challenge']","['Business', 'Finance', 'Society', 'Economic Policy', 'Economic Indicators', 'US Politics', 'US Policy']","Inflation is expected to be less of a factor in 2024, but interest rates and geopolitical instability are headwinds for the US economy in 2024 (Indiana University, The Conference Board, Goldman Sachs). The question will be suspended on 31 March 2024 and the outcome determined using quarterly data from the Bureau of Economic Analysis (BEA) as first reported by the Federal Reserve Economic Data database (FRED), expected in April 2024 (FRED, BEA - Release Schedule).","{'Lower by more than 3.0%': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Lower by between 1.5% and 3.0%, inclusive': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Lower by more than 0.0% but less than 1.5%': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'Higher by between 0.0% and 1.5%, inclusive': {'Correct?': False, 'Final Crowd Forecast': '8%'}, 'Higher by more than 1.5% but less than 3.0%': {'Correct?': True, 'Final Crowd Forecast': '75%'}, 'Higher by 3.0% or more': {'Correct?': False, 'Final Crowd Forecast': '16%'}}"
When will new federal legislation enabling the executive branch to ban or prohibit TikTok from operating in the US become law?,"Mar 08, 2024 06:00PM UTC","Apr 24, 2024 03:00PM UTC","['In the News 2024', 'Foxes Ask']","['Business', 'Technology', 'Society', 'Entertainment', 'Foreign Policy', 'US Politics', 'Security and Conflict', 'US Policy']","On 5 March 2024, a bipartisan group of representatives introduced the Protecting Americans from Foreign Adversary Controlled Applications Act, legislation designed to empower the executive branch to, among other things, prohibit companies from certain countries from operating electronic applications in the US (NPR, CNN, House.gov - Select Committee on the CCP, House Select Committee on the CCP - H.R.7521 Text). The date the legislation would take effect and whether TikTok is actually banned or named outright in the legislation is immaterial.","{'Before 15 July 2024': {'Correct?': True, 'Final Crowd Forecast': '79%'}, 'Between 15 July 2024 and 4 November 2024': {'Correct?': False, 'Final Crowd Forecast': '6%'}, 'Between 5 November 2024 and 31 December 2024': {'Correct?': False, 'Final Crowd Forecast': '3%'}, 'Not before 1 January 2025': {'Correct?': False, 'Final Crowd Forecast': '12%'}}"
When will the closing price for Brent crude oil next reach or exceed $130.00 per barrel?,"Oct 27, 2023 05:00PM UTC","Apr 23, 2024 07:01AM UTC","['In the News 2024', 'City University of Hong Kong Challenge', 'Middle East in Focus']","['Business', 'Society', 'Foreign Policy', 'Security and Conflict', 'Non-US Politics']","Concerns that the conflict in Israel and the Gaza Strip may spread have raised fears that there could be a major disruption in global energy supplies in the near future (PBS, US News & World Report, Business Standard). The outcome will be determined using price data as reported by NASDAQ (NASDAQ, set chart to ""1M""). The price of Brent last approached, but never closed at or above, $130 in the weeks after Russia's February 2022 invasion of Ukraine (CNBC).","{'Before 26 December 2023': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 26 December 2023 and 23 February 2024': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 24 February 2024 and 23 April 2024': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'Not before 24 April 2024': {'Correct?': True, 'Final Crowd Forecast': '99%'}}"
Will an attack on a US diplomatic facility outside of the US result in either a fatality or the capture of one or more US personnel at the facility before 20 April 2024?,"Oct 20, 2023 05:00PM UTC","Apr 20, 2024 07:01AM UTC","['In the News 2024', 'Middle East in Focus']","['Foreign Policy', 'Security and Conflict']","Protests, some violent, have broken out at US diplomatic facilities since an explosion at a hospital in the Gaza Strip that Hamas claims was perpetrated by Israel, a claim Israel denies (PBS, Hurriyet Daily News, US Department of State). For the purposes of this question, ""US personnel"" include diplomatic staff, Marine Security Guards, and other US government personnel. A fatality must be among US personnel to count.","{'Yes': {'Correct?': False, 'Final Crowd Forecast': '6%'}, 'No': {'Correct?': True, 'Final Crowd Forecast': '94%'}}"
When will US legislation appropriating at least $1 billion of new funding for government and/or military assistance to Ukraine become law?,"Jan 19, 2024 06:00PM UTC","Apr 19, 2024 07:01AM UTC","['In the News 2024', 'Russia-Ukraine Conflict']","['Foreign Policy', 'US Politics', 'Security and Conflict', 'US Policy']","As the Biden Administration along with House and Senate leadership continue to negotiate for new appropriation bills, including new support for Ukraine, none has come as the Pentagon stated in early January 2024 that it was ""out of money"" for Ukraine (Defense News, ABC News, AP). Legislation that only extends preexisting funding for Ukraine (e.g., a continuing resolution without new funding) would not count (Government Accountability Office, Congressional Research Service).","{'Before 19 February 2024': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 19 February 2024 and 18 March 2024': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 19 March 2024 and 18 April 2024': {'Correct?': False, 'Final Crowd Forecast': '5%'}, 'Not before 19 April 2024': {'Correct?': True, 'Final Crowd Forecast': '95%'}}"
"Before 1 October 2024, will the Israeli Defense Forces (IDF) execute a military strike within the territory of Iran?","Sep 29, 2023 05:00PM UTC","Apr 19, 2024 02:30AM UTC","['In the News 2024', 'Middle East in Focus']","['Technology', 'Foreign Policy', 'Security and Conflict', 'Non-US Politics']","Israel has stated that it would not allow Iran to possess a nuclear weapon, which is widely seen to include a possible military strike by Israel against Iran (ABC News, AP, The National). The geographic origin of and weaponry used in a military strike would be immaterial so long as the weapon detonates or discharges on Iranian territory. A cyberattack alone would not count. Actions not executed by the IDF would not count (e.g., covert assassinations of nuclear scientists). A strike in or over Iranian territorial waters would not count.","{'Yes': {'Correct?': True, 'Final Crowd Forecast': '61%'}, 'No': {'Correct?': False, 'Final Crowd Forecast': '39%'}}"
"Before 19 April 2024, will the United States renew or extend its general license as issued on 18 October 2023 authorizing transactions related to oil or gas operations in Venezuela?","Nov 10, 2023 06:00PM UTC","Apr 17, 2024 04:00PM UTC",['In the News 2024'],"['Business', 'Society', 'Economic Policy', 'US Politics', 'Elections and Referenda', 'Non-US Politics', 'US Policy']","On 18 October 2023, the US announced a deal with the Maduro government in Venezuela where the US would lift some sanctions in exchange for basic conditions being met for Venezuela's next presidential election (PBS, US Dept. of Treasury). General License No. 44, ""Authorizing Transactions Related to Oil or Gas Sector Operations in Venezuela,"" is scheduled to expire after 12:01 AM EDT on 18 April 2024 (US Dept. of Treasury - Office of Foreign Assets Control). Any renewal that includes limits that did not exist when the license was issued (e.g., including a cap on the quantity involved or value of transactions) would not count. If the US either revokes or amends the license so as to limit its scope before a renewal, the question would close ""No.""","{'Yes': {'Correct?': False, 'Final Crowd Forecast': '8%'}, 'No': {'Correct?': True, 'Final Crowd Forecast': '92%'}}"
When will the US Secretary of Defense and the Minister of National Defense of China next hold a bilateral meeting?,"Oct 20, 2023 05:00PM UTC","Apr 16, 2024 08:00PM UTC",['In the News 2024'],"['Foreign Policy', 'US Politics', 'Security and Conflict', 'Non-US Politics']","While US Defense Secretary Austin has met with Chinese defense ministers in recent times at multilateral events, China rebuffed efforts by the US to hold a bilateral meeting between the two as recently as May 2023 (NBC News, US Naval Institute). As of the launch of this question, the incumbent US Secretary of Defense was Lloyd Austin, and the Defense Minister of China was Li Shangfu (Defense.gov, China Ministry of National Defense). As of the launch of this question, Li had not been seen publicly since late August 2023 (CNN). A meeting held virtually (e.g., phone call, video call) or in concert with another event (e.g., G20 summit) would count so long as a meeting is held separately with the two leaders among themselves and their own respective entourages (e.g., US Naval Institute), and a meeting between the Secretary and Minister when either or both hold the position in an acting capacity due to the position being otherwise vacant, including due to incapacitation, would count.","{'Before 1 January 2024': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 1 January 2024 and 31 March 2024': {'Correct?': False, 'Final Crowd Forecast': '2%'}, 'Between 1 April 2024 and 30 June 2024': {'Correct?': True, 'Final Crowd Forecast': '24%'}, 'Not before 1 July 2024': {'Correct?': False, 'Final Crowd Forecast': '74%'}}"
"What will be the gigawatts (GW) of photovoltaic (PV) electrical capacity installed in the world in 2023, according to the International Energy Agency (IEA)?","Nov 24, 2023 06:00PM UTC","Mar 01, 2024 08:01AM UTC","['City University of Hong Kong Challenge', 'In the News 2024']","['Business', 'Technology', 'Environment']","Solar energy generation is seen as key for the general move away from fossil fuels (Nature, CNET). The question will be suspended on 29 February 2024 and the outcome determined using installed capacity data (for the year, not cumulative) as reported by the IEA in its 2024 Snapshot of Global PV Markets, expected in early spring of 2024 (IEA PV Power Systems Programme - Snapshot Reports). In 2022, 240 GW of PV electrical capacity was installed around the world (IEA - Snapshot of Global PV Markets 2023, see Figure 1, ShopSolar - Gigawatt definition).","{'Less than 240 GW': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 240 GW and 300 GW, inclusive': {'Correct?': False, 'Final Crowd Forecast': '2%'}, 'More than 300 GW but less than 360 GW': {'Correct?': False, 'Final Crowd Forecast': '20%'}, 'Between 360 GW and 420 GW, inclusive': {'Correct?': True, 'Final Crowd Forecast': '70%'}, 'More than 420 GW': {'Correct?': False, 'Final Crowd Forecast': '8%'}}"
When will Israel publicly announce that all Israeli citizens captured in the attack in southern Israel in early October 2023 have either been freed or are dead?,"Nov 27, 2023 06:30PM UTC","Apr 16, 2024 07:01AM UTC","['In the News 2024', 'Middle East in Focus']","['Society', 'Foreign Policy', 'Security and Conflict', 'Non-US Politics']","Hamas and Israel completed an initial hostage/prisoner exchanges in late November 2023 (France 24). As of 27 November 2023, it is believed that 183 hostages were still being held by Hamas and others in Gaza as negotiations continue (Times of Israel, ABC News). Israel announcing that a hostage or hostages are presumed dead would count as to those particular hostages, and whether an Israeli citizen holds dual citizenship is immaterial.","{'Before 12 December 2023': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 12 December 2023 and 1 January 2024': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 2 January 2024 and 29 January 2024': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 30 January 2024 and 4 March 2024': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 5 March 2024 and 15 April 2024': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Not before 16 April 2024': {'Correct?': True, 'Final Crowd Forecast': '100%'}}"
"As of 15 April 2024, how many members of the Alliance of Sahel States (AoSS) will have notice in place that they wish to leave the Economic Community of West African States (ECOWAS)?","Mar 08, 2024 06:00PM UTC","Apr 15, 2024 07:01AM UTC","['In the News 2024', 'Superforecasting® Workshops Challenge']","['Foreign Policy', 'Security and Conflict', 'Non-US Politics']","On 28 January 2024, AoSS members Burkina Faso, Mali, and Niger announced they were withdrawing immediately from ECOWAS, though the ECOWAS treaty states that a member state must give one year's notice before withdrawal (Al Jazeera, BBC, ECOWAS Treaty, see Article 91). For the purposes of this question, the AoSS members are considered to be ECOWAS member states, and any renouncement of their putative leaving in January 2024 so as to remove the notice that they wish to leave ECOWAS will count as that state or states no longer having notice in place (ECOWAS - Final Communique 24 February 2024).","{'0': {'Correct?': False, 'Final Crowd Forecast': '1%'}, '1': {'Correct?': False, 'Final Crowd Forecast': '4%'}, '2': {'Correct?': False, 'Final Crowd Forecast': '3%'}, '3': {'Correct?': True, 'Final Crowd Forecast': '93%'}}"
"What will be the percentage change in the world's GDP in 2024 relative to the world's GDP in 2023, according to the IMF in April 2024?","Nov 13, 2023 04:00PM UTC","Apr 01, 2024 07:01AM UTC","['In the News 2024', 'The Economist: The World Ahead 2024']","['Business', 'Society', 'Economic Indicators']","As of October 2023, the International Monetary Fund (IMF) estimated global GDP growth would be modest in 2024 amid worries about inflation, conflict, and other variables (IMF, CNBC). The question will be suspended on 31 March 2024 and the outcome determined using IMF real GDP data from the first release of the World Economic Outlook Database in 2024, which is expected in April 2024. At the IMF website (IMF - World Economic Outlook Databases), choose the appropriate ""World Economic Outlook Database""; then choose ""Entire Dataset""; then download the ""By Country Groups"" file in the ""Tab Delimited Values"" section. On the spreadsheet, refer to the line of data, usually near the top, that has the Subject Descriptor as ""Gross domestic product, constant prices"" and Units as ""Percent change."" World GDP percentage change in constant prices for 2023 was estimated to be 2.964% according to the October 2023 report (IMF - World Economic Outlook Database October 2023). The data may also be seen using the IMF's reporting tool here: IMF).","{'Lower than 1.25%': {'Correct?': False, 'Final Crowd Forecast': '3%'}, 'Higher by between 1.25% and 2.00%, inclusive': {'Correct?': False, 'Final Crowd Forecast': '11%'}, 'Higher by more than 2.00% but less than 2.75%': {'Correct?': False, 'Final Crowd Forecast': '29%'}, 'Higher by between 2.75% and 3.50%, inclusive': {'Correct?': True, 'Final Crowd Forecast': '51%'}, 'Higher by more than 3.50% but less than 4.25%': {'Correct?': False, 'Final Crowd Forecast': '5%'}, '4.25% or higher': {'Correct?': False, 'Final Crowd Forecast': '1%'}}"
What will be China's annual GDP growth rate for the first quarter of 2024?,"Oct 27, 2023 05:00PM UTC","Apr 01, 2024 07:01AM UTC",['In the News 2024'],"['Business', 'Economic Policy', 'Economic Indicators', 'Non-US Politics']","Various forecasts for China's economic growth in 2024 have been cut as the country deals with various economic issues, particularly in its property sector (US News & World Report, Yahoo). The question will be suspended on 31 March 2024 and the outcome determined using quarterly data from the National Bureau of Statistics of China as first reported by Trading Economics, expected in April 2024 (Trading Economics).","{'Higher by less than 2.0% or lower': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Higher by at least 2.0%, but less than 3.0%': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'Higher by at least 3.0%, but less than 4.0%': {'Correct?': False, 'Final Crowd Forecast': '11%'}, 'Higher by at least 4.0%, but less than 5.0%': {'Correct?': False, 'Final Crowd Forecast': '55%'}, 'Higher by at least 5.0%, but less than 6.0%': {'Correct?': True, 'Final Crowd Forecast': '31%'}, 'Higher by at least 6.0%, but less than 7.0%': {'Correct?': False, 'Final Crowd Forecast': '2%'}, 'Higher by 7.0% or more': {'Correct?': False, 'Final Crowd Forecast': '0%'}}"
"Will total global corporate investment in AI in 2023 reach or exceed $300 billion, according to the Artificial Intelligence Index?","Jan 24, 2023 10:00AM UTC","Jan 01, 2024 08:01AM UTC","['In the News 2023', 'Superforecasting® Workshops Challenge']","['Business', 'Finance', 'Technology', 'Society']","Investment in artificial intelligence (AI) has grown considerably in just the past decade, with some raising concerns about the potential consequences of embracing the technology (TechRepublic, World Economic Forum, CNBC). The question will be suspended on 31 December 2023 and the outcome determined using 2023 data as first published in the 2024 AI Index Report published by the Stanford Institute for Human-Centered Artificial Intelligence, expected in March 2024 (Stanford University). In 2021, the total annual investment in AI companies in the world was $176.47 billion (Artificial Intelligence Index Report 2022, see Figure 4.2.1 on page 151). Inflation-adjusted historical data may also be found on Our World in Data (Our World in Data).","{'Yes': {'Correct?': False, 'Final Crowd Forecast': '23.85%'}, 'No': {'Correct?': True, 'Final Crowd Forecast': '76.15%'}}"
Will Ariel Henry cease to be recognized by the US as the sole acting president and prime minister of Haiti before 18 April 2024?,"Mar 07, 2024 08:00PM UTC","Apr 13, 2024 02:00AM UTC","['Foxes Ask', 'In the News 2024']","['Society', 'Foreign Policy', 'Leader Entry/Exit', 'Security and Conflict', 'Non-US Politics', 'US Policy']","Violence in the impoverished country as steadily risen amid delayed elections and political paralysis, with growing calls for Acting President and Prime Minister Ariel Henry to act one way or another (AP, Al Jazeera, CBS News, Yahoo). The question would close ""Yes"" on Henry's outright resignation, the US recognizing a different person or persons as the heads of state and government, or other outcome where Henri is no longer the president (acting or otherwise), prime minister, head of state, or head of government in a singular capacity as recognized by the US.","{'Yes': {'Correct?': True, 'Final Crowd Forecast': '45%'}, 'No': {'Correct?': False, 'Final Crowd Forecast': '55%'}}"
How many total vehicles will be sold in the US in the first quarter of 2024?,"Dec 01, 2023 06:00PM UTC","Apr 01, 2024 07:01AM UTC","['In the News 2024', '""Right!"" said FRED: Q1 2024 Finance and Economics Challenge']","['Business', 'Society', 'Economic Indicators']","Despite the strikes at the ""Big Three"" automakers in September and October 2023, US vehicle sales have remained relatively firm (CNN, US News & World Report). The question will be suspended on 31 March 2024 and the outcome determined by adding monthly Total Vehicle Sales data from the US Bureau of Economic Analysis for January, February, and March 2024 as reported by the Federal Reserve Economic Data database (FRED) once March 2024 data are first available, expected in April 2024 (FRED).","{'Fewer than 3.2 million': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Between 3.2 million and 3.5 million, inclusive': {'Correct?': False, 'Final Crowd Forecast': '4%'}, 'More than 3.5 million but fewer than 3.8 million': {'Correct?': False, 'Final Crowd Forecast': '50%'}, 'Between 3.8 million and 4.1 million, inclusive': {'Correct?': True, 'Final Crowd Forecast': '38%'}, 'More than 4.1 million but fewer than 4.4 million': {'Correct?': False, 'Final Crowd Forecast': '7%'}, '4.4 million or more': {'Correct?': False, 'Final Crowd Forecast': '1%'}}"
What will be the average daily crude oil production by Saudi Arabia in the first quarter of 2024?,"Oct 13, 2023 05:00PM UTC","Apr 01, 2024 07:01AM UTC","['In the News 2024', 'Middle East in Focus', 'City University of Hong Kong Challenge']","['Business', 'Foreign Policy', 'Security and Conflict']","Saudi Arabia has maintained production cuts to support oil prices, but said it was working to maintain market stability in the wake of attacks in Israel by Iran-backed Hamas (AP, CNBC, Guardian). The question will be suspended on 31 March 2024 and the outcome determined using data for ""Saudi Arabia"" in the first quarter of 2024 as first reported in the ""OPEC crude oil production based on secondary sources, tb/d"" table of the ""World Oil Supply"" section of OPEC's April 2024 Monthly Oil Market Report (OPEC). The April 2023 report shows ""Saudi Arabia"" produced 10,354 thousand barrels per day (tb/d) in the first quarter of 2023 (OPEC - MOMR April 2023, see under ""1Q23"" in Table 5 - 7 on page 48).","{'Fewer than 7,000 tb/d': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'Between 7,000 tb/d and 7,750 tb/d, inclusive': {'Correct?': False, 'Final Crowd Forecast': '5%'}, 'More than 7,750 tb/d but fewer than 8,500 tb/d': {'Correct?': False, 'Final Crowd Forecast': '6%'}, 'Between 8,500 tb/d and 9,250 tb/d, inclusive': {'Correct?': True, 'Final Crowd Forecast': '75%'}, 'More than 9,250 tb/d but fewer than 10,000 tb/d': {'Correct?': False, 'Final Crowd Forecast': '11%'}, 'Between 10,000 tb/d and 10,750 tb/d, inclusive': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'More than 10,750 tb/d': {'Correct?': False, 'Final Crowd Forecast': '1%'}}"
Which college basketball team will win the 2024 Men's NCAA Tournament?,"Apr 01, 2024 03:00PM UTC","Apr 08, 2024 07:01AM UTC","[""2023-24 'Sportsball' Challenge"", 'In the News 2024']","['Business', 'Sports']","On 6 April 2024, UConn is scheduled to play Alabama and North Carolina State is scheduled to play Purdue, with the winners facing off for the championship on 8 April 2024 (NCAA).","{'University of Connecticut (UConn)': {'Correct?': True, 'Final Crowd Forecast': '64%'}, 'North Carolina State': {'Correct?': False, 'Final Crowd Forecast': '3%'}, 'Purdue': {'Correct?': False, 'Final Crowd Forecast': '29%'}, 'Alabama': {'Correct?': False, 'Final Crowd Forecast': '4%'}}"
What percentage of the vote will Nikki Haley receive in the 2024 New York Republican presidential primary?,"Feb 26, 2024 05:30PM UTC","Apr 02, 2024 07:01AM UTC","['2024 US Election Challenge', 'In the News 2024']","['Leader Entry/Exit', 'US Politics', 'Elections and Referenda']","After her loss in her home state of South Carolina, Nikki Haley has indicated that her campaign for the Republican nomination will continue (NPR, USA Today). The New York Republican primary is scheduled for 2 April 2024 (270 to Win).","{'Less than 8.0%': {'Correct?': False, 'Final Crowd Forecast': '33%'}, 'At least 8.0%, but less than 16.0%': {'Correct?': True, 'Final Crowd Forecast': '42%'}, 'At least 16.0%, but less than 24.0%': {'Correct?': False, 'Final Crowd Forecast': '22%'}, 'At least 24.0%, but less than 32.0%': {'Correct?': False, 'Final Crowd Forecast': '3%'}, 'At least 32.0%, but less than 40.0%': {'Correct?': False, 'Final Crowd Forecast': '0%'}, '40.0% or more': {'Correct?': False, 'Final Crowd Forecast': '0%'}}"
